run,n,cls,perp_logit,perp_perp,perp_geom,fit_probe,auc_t,dc_frac
d47_seed0,47,A,2.504310,2.672473,0.258152,100.000000,1.000000,0.126634
d47_seed1,47,A,1.563841,1.619973,0.244979,100.000000,1.000000,0.146431
d47_seed3,47,A,2.557173,2.624213,0.118952,100.000000,1.000000,0.132602
d47_seed4,47,B,1.770356,1.828963,0.275499,51.112789,0.500405,0.006185
d47_seed6,47,I,1.913292,1.983259,0.208126,59.713316,0.683209,0.122757
d47_seed7,47,A,2.036015,2.130600,0.354792,100.000000,1.000000,0.145335
d47_seed8,47,A,2.365995,2.584828,0.387399,100.000000,1.000000,0.157977
d47_seed9,47,A,1.966852,2.059996,0.314823,100.000000,1.000000,0.129704
d51_seed0,51,B,2.816403,2.856488,0.133723,50.032032,0.507575,0.017753
d51_seed2,51,A,2.230083,2.424405,0.210036,100.000000,1.000000,0.161295
d53_seed1,53,A,2.011156,2.105718,0.177650,100.000000,1.000000,0.211780
d53_seed2,53,B,2.600382,2.809728,0.264588,50.222486,0.502086,0.018134
d55_seed0,55,B,2.371551,2.445505,0.247516,50.881541,0.504137,0.010054
d55_seed2,55,B,2.092681,2.140585,0.236335,50.633609,0.507241,0.060163
d59_30pct_seed0,59,A,3.008211,3.250604,0.254776,100.000000,1.000000,0.131606
d59_30pct_seed1,59,A,1.855555,1.964446,0.249079,100.000000,1.000000,0.167017
d59_30pct_seed3,59,A,2.187338,2.248172,0.226692,100.000000,1.000000,0.138475
d59_30pct_seed4_resumed,59,A,2.558457,2.646163,0.147711,100.000000,1.000000,0.121173
d61_seed0,61,B,1.652930,1.681691,0.107791,49.373040,0.500001,0.009095
d61_seed1,61,B,2.424295,2.483037,0.280411,49.373040,0.505677,0.003767
d61_seed2,61,A,2.078806,2.216663,0.236516,100.000000,1.000000,0.212061
d61_seed4,61,I,2.482556,2.576308,0.295847,63.860279,0.662954,0.037814
d61_seed6,61,B,1.968864,2.005254,0.245351,50.626957,0.500055,0.006469
d61_seed8,61,A,1.649147,1.672930,0.138458,100.000000,1.000000,0.125338
d61_seed9,61,B,1.523591,1.591251,0.277461,49.373040,0.500356,0.015703
d63_seed0,63,B,1.945655,1.989044,0.255409,49.947512,0.500655,0.026962
d63_seed1,63,B,2.427681,2.520642,0.266124,49.632585,0.500738,0.011403
d63_seed2,63,A,1.842098,1.891270,0.305453,100.000000,1.000000,0.172291
d63_seed3,63,B,2.299637,2.417009,0.201049,49.716565,0.548166,0.013216
d63_seed4,63,B,1.648687,1.686988,0.166027,49.758556,0.501019,0.010274
d63_seed5,63,B,2.131259,2.180064,0.221907,49.758556,0.504632,0.015538
d63_seed6,63,B,2.456354,2.559888,0.178581,49.527609,0.500367,0.007769
d63_seed7,63,B,1.972504,2.098235,0.231524,49.779549,0.504982,0.021527
d63_seed8,63,A,2.172520,2.349923,0.154000,100.000000,1.000000,0.201580
d63_seed9,63,B,2.449780,2.517528,0.154545,49.758556,0.503432,0.008415
