run,n,cls,base,surgical,noise_only
d47_seed0,47,A,1.000000,0.869000,0.983444
d47_seed1,47,A,1.000000,0.663000,0.969222
d47_seed3,47,A,1.000000,0.954333,0.993889
d47_seed4,47,B,1.000000,1.000000,1.000000
d47_seed6,47,I,0.999667,0.914667,0.974778
d47_seed7,47,A,1.000000,0.879000,0.986111
d47_seed8,47,A,1.000000,0.861333,0.980667
d47_seed9,47,A,1.000000,0.982000,0.998000
d61_seed0,61,B,1.000000,1.000000,1.000000
d61_seed1,61,B,1.000000,1.000000,0.999889
d61_seed2,61,A,1.000000,0.887000,0.985778
d61_seed4,61,I,1.000000,0.967667,0.990556
d61_seed6,61,B,1.000000,1.000000,1.000000
d61_seed8,61,A,1.000000,0.986667,0.997667
d61_seed9,61,B,1.000000,1.000000,1.000000
d63_seed0,63,B,1.000000,0.999667,0.999889
d63_seed1,63,B,1.000000,1.000000,1.000000
d63_seed2,63,A,1.000000,0.729000,0.985222
d63_seed3,63,B,1.000000,1.000000,0.999667
d63_seed4,63,B,1.000000,0.997000,0.999222
d63_seed5,63,B,1.000000,1.000000,1.000000
d63_seed6,63,B,1.000000,1.000000,1.000000
d63_seed7,63,B,1.000000,1.000000,0.999889
d63_seed8,63,A,1.000000,0.912333,0.985111
d63_seed9,63,B,1.000000,1.000000,1.000000
