run,n,cls,base,acc_t,idx_t,typ_t,acc_rand,err_typ_only,err_idx_only,err_both
d47_seed0,47,A,1.000000,0.864531,0.864531,0.864531,1.000000,0.000000,0.000000,1.000000
d47_seed1,47,A,1.000000,0.710276,0.710276,0.710276,0.999774,0.000000,0.000000,1.000000
d47_seed3,47,A,1.000000,0.950317,0.950317,0.950317,0.999925,0.000000,0.000000,1.000000
d47_seed4,47,B,1.000000,0.998981,0.998981,0.999547,0.999585,0.000000,0.555556,0.444444
d47_seed6,47,I,0.995813,0.886827,0.890675,0.890335,0.992757,0.034000,0.031000,0.935000
d47_seed7,47,A,1.000000,0.867587,0.869511,0.867587,1.000000,0.014530,0.000000,0.985470
d47_seed8,47,A,0.999660,0.860684,0.861928,0.861136,0.999585,0.008936,0.003249,0.987815
d47_seed9,47,A,1.000000,0.927456,0.927682,0.927569,0.999849,0.003120,0.001560,0.995320
d51_seed0,51,B,0.996924,0.995579,0.995579,0.999616,0.996828,0.000000,0.913043,0.086957
d51_seed2,51,A,1.000000,0.898789,0.898885,0.898789,1.000000,0.000950,0.000000,0.999050
d53_seed1,53,A,1.000000,0.890441,0.891687,0.890530,0.999970,0.011373,0.000812,0.987815
d53_seed2,53,B,1.000000,0.981043,0.981043,0.985226,0.999941,0.000000,0.220657,0.779343
d55_seed0,55,B,1.000000,0.988678,0.989091,0.988926,1.000000,0.036496,0.021898,0.941606
d55_seed2,55,B,0.997438,0.995207,0.995207,0.998430,0.996364,0.000000,0.672414,0.327586
d59_30pct_seed0,59,A,1.000000,0.900675,0.900675,0.900675,0.999880,0.000000,0.000000,1.000000
d59_30pct_seed1,59,A,0.999785,0.948363,0.948363,0.948578,0.999665,0.000000,0.004172,0.995828
d59_30pct_seed3,59,A,1.000000,0.892488,0.893134,0.892703,0.999210,0.006012,0.002004,0.991984
d59_30pct_seed4_resumed,59,A,0.995906,0.900531,0.900531,0.903189,0.988365,0.000000,0.026715,0.973285
d61_seed0,61,B,1.000000,0.996977,0.996977,0.997313,0.999888,0.000000,0.111111,0.888889
d61_seed1,61,B,1.000000,0.995902,0.995902,0.996103,0.999955,0.000000,0.049180,0.950820
d61_seed2,61,A,1.000000,0.895257,0.897272,0.895458,1.000000,0.019243,0.001924,0.978833
d61_seed4,61,I,1.000000,0.909836,0.910105,0.922870,0.999978,0.002981,0.144560,0.852459
d61_seed6,61,B,1.000000,0.981994,0.981994,0.986697,0.999798,0.000000,0.261194,0.738806
d61_seed8,61,A,1.000000,0.986899,0.986899,0.986899,0.999037,0.000000,0.000000,1.000000
d61_seed9,61,B,1.000000,0.958277,0.963719,0.964727,0.999821,0.130435,0.154589,0.714976
d63_seed0,63,B,1.000000,0.999496,0.999496,0.999622,0.999937,0.000000,0.250000,0.750000
d63_seed1,63,B,1.000000,0.978584,0.978584,0.983056,1.000000,0.000000,0.208824,0.791176
d63_seed2,63,A,1.000000,0.810973,0.810973,0.810973,0.999853,0.000000,0.000000,1.000000
d63_seed3,63,B,1.000000,0.951247,0.951247,0.981670,0.999937,0.000000,0.624031,0.375969
d63_seed4,63,B,1.000000,0.705530,0.705656,0.918178,0.999979,0.000428,0.722139,0.277433
d63_seed5,63,B,1.000000,0.997040,0.997040,0.999181,0.999349,0.000000,0.723404,0.276596
d63_seed6,63,B,1.000000,0.994205,0.994331,0.995024,0.999580,0.021739,0.141304,0.836957
d63_seed7,63,B,1.000000,0.965860,0.966427,0.988095,0.999958,0.016605,0.651292,0.332103
d63_seed8,63,A,1.000000,0.936004,0.936004,0.936004,1.000000,0.000000,0.000000,1.000000
d63_seed9,63,B,1.000000,0.998992,0.998992,0.998992,0.999979,0.000000,0.000000,1.000000
