run,n,cls,base,surgical,surg_idx,surg_typ,crude,shuffled,noise_only
d47_seed0,47,A,1.000000,0.871661,0.871661,0.871661,0.864531,0.871284,0.869436
d47_seed1,47,A,1.000000,0.683228,0.683228,0.683228,0.710276,0.766410,0.764184
d47_seed3,47,A,1.000000,0.955523,0.955636,0.955523,0.950317,0.949826,0.944281
d47_seed4,47,B,1.000000,1.000000,1.000000,1.000000,0.998981,0.999887,0.999887
d47_seed6,47,I,0.995813,0.914101,0.916252,0.916931,0.886827,0.906066,0.914252
d47_seed7,47,A,1.000000,0.864192,0.865776,0.864192,0.867587,0.857213,0.862721
d47_seed8,47,A,0.999660,0.860344,0.860344,0.860457,0.860684,0.798099,0.802965
d47_seed9,47,A,1.000000,0.981553,0.981779,0.981553,0.927456,0.914705,0.917761
d51_seed0,51,B,0.996924,0.996732,0.996732,0.999808,0.995579,0.994489,0.995515
d51_seed2,51,A,1.000000,0.879566,0.879662,0.879566,0.898789,0.860534,0.869698
d53_seed1,53,A,1.000000,0.849947,0.851460,0.849947,0.890441,0.862051,0.853892
d53_seed2,53,B,1.000000,1.000000,1.000000,1.000000,0.981043,0.999496,0.999585
d55_seed0,55,B,1.000000,1.000000,1.000000,1.000000,0.988678,1.000000,1.000000
d55_seed2,55,B,0.997438,0.994793,0.994793,0.997107,0.995207,0.985565,0.987163
d59_30pct_seed0,59,A,1.000000,0.894355,0.894355,0.894355,0.900675,0.871756,0.877334
d59_30pct_seed1,59,A,0.999785,0.946783,0.946783,0.946854,0.948363,0.924279,0.925500
d59_30pct_seed3,59,A,1.000000,0.868429,0.869937,0.868429,0.892488,0.801637,0.805300
d59_30pct_seed4_resumed,59,A,0.995906,0.901321,0.901321,0.903332,0.900531,0.872427,0.875108
d61_seed0,61,B,1.000000,1.000000,1.000000,1.000000,0.996977,0.999910,0.999955
d61_seed1,61,B,1.000000,1.000000,1.000000,1.000000,0.995902,1.000000,0.999978
d61_seed2,61,A,1.000000,0.883365,0.886522,0.883365,0.895257,0.894159,0.897295
d61_seed4,61,I,1.000000,0.966877,0.967146,0.966877,0.909836,0.952387,0.949162
d61_seed6,61,B,1.000000,1.000000,1.000000,1.000000,0.981994,0.999910,0.999955
d61_seed8,61,A,1.000000,0.988981,0.988981,0.988981,0.986899,0.959733,0.959823
d61_seed9,61,B,1.000000,1.000000,1.000000,1.000000,0.958277,0.998634,0.998522
d63_seed0,63,B,1.000000,0.999874,0.999874,0.999874,0.999496,0.999937,0.999748
d63_seed1,63,B,1.000000,1.000000,1.000000,1.000000,0.978584,0.999832,1.000000
d63_seed2,63,A,1.000000,0.799320,0.799320,0.799320,0.810973,0.803246,0.795918
d63_seed3,63,B,1.000000,0.999685,0.999685,0.999685,0.951247,0.999580,0.999601
d63_seed4,63,B,1.000000,0.997480,0.997669,0.997480,0.705530,0.996767,0.996578
d63_seed5,63,B,1.000000,0.999937,0.999937,0.999937,0.997040,0.999706,0.999706
d63_seed6,63,B,1.000000,0.999937,0.999937,0.999937,0.994205,0.999979,0.999937
d63_seed7,63,B,1.000000,0.999937,0.999937,0.999937,0.965860,0.998992,0.998971
d63_seed8,63,A,1.000000,0.922777,0.922777,0.922777,0.936004,0.875934,0.880511
d63_seed9,63,B,1.000000,0.999811,0.999811,0.999811,0.998992,0.999895,0.999916
