run,n,cls,epoch,base,surgical,noise_only
d47_seed0,47,A,3000,0.671667,0.662000,0.667667
d47_seed0,47,A,5000,0.695000,0.662000,0.686111
d47_seed0,47,A,7000,0.747667,0.662667,0.744333
d47_seed0,47,A,9000,0.893000,0.642000,0.880889
d47_seed1,47,A,3000,0.663000,0.651000,0.663111
d47_seed1,47,A,5000,0.689000,0.652000,0.686778
d47_seed1,47,A,7000,0.847000,0.637333,0.845111
d47_seed1,47,A,9000,0.895333,0.631000,0.888778
d47_seed3,47,A,3000,0.946333,0.617000,0.934778
d47_seed3,47,A,5000,0.976000,0.579667,0.963333
d47_seed3,47,A,7000,0.973000,0.556667,0.961778
d47_seed3,47,A,9000,0.979333,0.575333,0.971556
d47_seed4,47,B,3000,0.631000,0.639667,0.633000
d47_seed4,47,B,5000,0.647333,0.641667,0.648333
d47_seed4,47,B,7000,0.642000,0.641333,0.643000
d47_seed4,47,B,9000,0.659333,0.650333,0.655000
d47_seed6,47,I,3000,0.649667,0.649667,0.644333
d47_seed6,47,I,5000,0.655667,0.651333,0.652000
d47_seed6,47,I,7000,0.659667,0.661667,0.657778
d47_seed6,47,I,9000,0.667667,0.672000,0.665889
d47_seed7,47,A,3000,0.657000,0.643000,0.659889
d47_seed7,47,A,5000,0.676000,0.649000,0.674444
d47_seed7,47,A,7000,0.681000,0.640667,0.680778
d47_seed7,47,A,9000,0.697000,0.652000,0.700222
d47_seed8,47,A,3000,0.680333,0.651000,0.678556
d47_seed8,47,A,5000,0.702000,0.648333,0.698444
d47_seed8,47,A,7000,0.853000,0.629667,0.845333
d47_seed8,47,A,9000,0.945667,0.573667,0.937111
d47_seed9,47,A,3000,0.710333,0.665333,0.709556
d47_seed9,47,A,5000,0.926000,0.623667,0.918667
d47_seed9,47,A,7000,0.971667,0.621000,0.960778
d47_seed9,47,A,9000,0.989000,0.615667,0.973222
d61_seed0,61,B,3000,0.666667,0.663333,0.664556
d61_seed0,61,B,5000,0.670333,0.669000,0.664111
d61_seed0,61,B,7000,0.695333,0.704667,0.696333
d61_seed0,61,B,9000,0.745000,0.747333,0.745444
d61_seed1,61,B,3000,0.650000,0.654000,0.648889
d61_seed1,61,B,5000,0.650000,0.655667,0.650667
d61_seed1,61,B,7000,0.669333,0.670000,0.665667
d61_seed1,61,B,9000,0.692000,0.688000,0.689667
d61_seed2,61,A,3000,0.701667,0.671000,0.704667
d61_seed2,61,A,5000,0.946000,0.613333,0.938889
d61_seed2,61,A,7000,0.978333,0.597333,0.973111
d61_seed2,61,A,9000,0.976667,0.597000,0.968222
d61_seed4,61,I,3000,0.640000,0.649667,0.644222
d61_seed4,61,I,5000,0.643000,0.656667,0.645222
d61_seed4,61,I,7000,0.654000,0.656667,0.655778
d61_seed4,61,I,9000,0.660000,0.660000,0.660333
