run,n,cls,epoch,edit,overall,index,type,err_type_only,err_index_only,err_both,typ_break,typ_fix,partner_frac
d47_seed0,47,A,3000,base,0.304436,0.309869,0.669534,0.007810,0.524894,0.467296,,,
d47_seed0,47,A,3000,surgical,0.304436,0.309642,0.665007,0.007485,0.518386,0.474130,0.063717,0.059190,0.012433
d47_seed0,47,A,3000,noise_only,0.304021,0.309718,0.668628,0.008185,0.523877,0.467938,0.024144,0.023238,0.012266
d47_seed0,47,A,5000,base,0.305568,0.310435,0.689000,0.007008,0.552151,0.440841,,,
d47_seed0,47,A,5000,surgical,0.305115,0.310661,0.661951,0.007980,0.513518,0.478502,0.078882,0.051833,0.018651
d47_seed0,47,A,5000,noise_only,0.305644,0.310850,0.683001,0.007497,0.543467,0.449036,0.028935,0.022936,0.020596
d47_seed0,47,A,7000,base,0.308624,0.313264,0.741625,0.006711,0.626289,0.367000,,,
d47_seed0,47,A,7000,surgical,0.306134,0.311566,0.657085,0.007829,0.505790,0.486381,0.126415,0.041874,0.014324
d47_seed0,47,A,7000,noise_only,0.308096,0.312359,0.739550,0.006161,0.623577,0.370262,0.028331,0.026256,0.014701
d47_seed0,47,A,9000,base,0.312359,0.314056,0.885695,0.002469,0.833772,0.163759,,,
d47_seed0,47,A,9000,surgical,0.303305,0.308511,0.642825,0.007472,0.487329,0.505198,0.253735,0.010865,0.011151
d47_seed0,47,A,9000,noise_only,0.299381,0.301117,0.876377,0.002477,0.823546,0.173977,0.029651,0.020333,0.019562
d47_seed1,47,A,3000,base,0.302852,0.311227,0.663536,0.012013,0.517370,0.470617,,,
d47_seed1,47,A,3000,surgical,0.302852,0.311679,0.659688,0.012662,0.511851,0.475487,0.054663,0.050815,0.012422
d47_seed1,47,A,3000,noise_only,0.303154,0.311830,0.664290,0.012451,0.518243,0.469306,0.021503,0.022257,0.013514
d47_seed1,47,A,5000,base,0.305115,0.313943,0.697714,0.012704,0.564984,0.422313,,,
d47_seed1,47,A,5000,surgical,0.305681,0.315188,0.664101,0.013692,0.516218,0.470090,0.079787,0.046175,0.015603
d47_seed1,47,A,5000,noise_only,0.305530,0.314132,0.697110,0.012385,0.563855,0.423759,0.024860,0.024257,0.010422
d47_seed1,47,A,7000,base,0.311793,0.316546,0.849027,0.006907,0.780628,0.212465,,,
d47_seed1,47,A,7000,surgical,0.306700,0.317451,0.642485,0.015508,0.484329,0.500163,0.223517,0.016976,0.029367
d47_seed1,47,A,7000,noise_only,0.310548,0.315188,0.843066,0.006730,0.772378,0.220891,0.032104,0.026143,0.015282
d47_seed1,47,A,9000,base,0.316999,0.320054,0.902671,0.004474,0.857498,0.138028,,,
d47_seed1,47,A,9000,surgical,0.307039,0.318130,0.639090,0.016005,0.479177,0.504818,0.277162,0.013581,0.025725
d47_seed1,47,A,9000,noise_only,0.307832,0.311038,0.892674,0.004632,0.844940,0.150428,0.030632,0.020635,0.004716
d47_seed3,47,A,3000,base,0.307492,0.308284,0.942621,0.001144,0.917143,0.081713,,,
d47_seed3,47,A,3000,surgical,0.294477,0.300249,0.624717,0.008181,0.468078,0.523741,0.320847,0.002943,0.016226
d47_seed3,47,A,3000,noise_only,0.275049,0.275992,0.934246,0.001301,0.909299,0.089400,0.023125,0.014750,0.004651
d47_seed3,47,A,5000,base,0.310208,0.310548,0.971254,0.000492,0.958326,0.041181,,,
d47_seed3,47,A,5000,surgical,0.289498,0.294477,0.584201,0.007009,0.414782,0.578210,0.387619,0.000566,0.008467
d47_seed3,47,A,5000,noise_only,0.253923,0.254301,0.962955,0.000506,0.950347,0.049147,0.018938,0.010638,0.006553
d47_seed3,47,A,7000,base,0.311793,0.312132,0.972838,0.000493,0.960533,0.038974,,,
d47_seed3,47,A,7000,surgical,0.286329,0.291648,0.564735,0.007453,0.390105,0.602442,0.408443,0.000340,0.009144
d47_seed3,47,A,7000,noise_only,0.255131,0.255395,0.962653,0.000355,0.949856,0.049789,0.019881,0.009695,0.000000
d47_seed3,47,A,9000,base,0.317338,0.317565,0.979742,0.000332,0.970325,0.029344,,,
d47_seed3,47,A,9000,surgical,0.292780,0.296854,0.577297,0.005761,0.402304,0.591935,0.402558,0.000113,0.007028
d47_seed3,47,A,9000,noise_only,0.255131,0.255206,0.970537,0.000101,0.960443,0.039456,0.016938,0.007734,0.010945
d47_seed4,47,B,3000,base,0.301720,0.309642,0.646786,0.011345,0.494165,0.494489,,,
d47_seed4,47,B,3000,surgical,0.301607,0.308624,0.655387,0.010047,0.506563,0.483390,0.045383,0.053984,0.029925
d47_seed4,47,B,3000,noise_only,0.301947,0.309605,0.648936,0.010971,0.497082,0.491948,0.022144,0.024295,0.024147
d47_seed4,47,B,5000,base,0.302286,0.311000,0.654255,0.012490,0.504461,0.483049,,,
d47_seed4,47,B,5000,surgical,0.302060,0.311000,0.653010,0.012810,0.502838,0.484352,0.044930,0.043685,0.025189
d47_seed4,47,B,5000,noise_only,0.302060,0.310397,0.655764,0.011945,0.506784,0.481271,0.018787,0.020296,0.029721
d47_seed4,47,B,7000,base,0.302852,0.312245,0.652671,0.013474,0.501786,0.484740,,,
d47_seed4,47,B,7000,surgical,0.303078,0.311340,0.649163,0.011854,0.496590,0.491556,0.045722,0.042214,0.012376
d47_seed4,47,B,7000,noise_only,0.302739,0.311642,0.652784,0.012768,0.502029,0.485203,0.020673,0.020786,0.016418
d47_seed4,47,B,9000,base,0.303757,0.311000,0.660480,0.010403,0.512354,0.477243,,,
d47_seed4,47,B,9000,surgical,0.303191,0.311114,0.657198,0.011369,0.508040,0.480591,0.047306,0.044024,0.007177
d47_seed4,47,B,9000,noise_only,0.303531,0.311151,0.660480,0.010941,0.512512,0.476547,0.020183,0.020183,0.009287
d47_seed6,47,I,3000,base,0.303644,0.311340,0.642825,0.011052,0.487079,0.501869,,,
d47_seed6,47,I,3000,surgical,0.304436,0.312019,0.652218,0.010901,0.500000,0.489099,0.048325,0.057718,0.037471
d47_seed6,47,I,3000,noise_only,0.303757,0.311755,0.642523,0.011487,0.486563,0.501951,0.024634,0.024332,0.033481
d47_seed6,47,I,5000,base,0.306134,0.315980,0.651766,0.014190,0.498124,0.487686,,,
d47_seed6,47,I,5000,surgical,0.306247,0.316772,0.653689,0.015171,0.500816,0.484013,0.040403,0.042327,0.028011
d47_seed6,47,I,5000,noise_only,0.306172,0.316056,0.651275,0.014245,0.497390,0.488365,0.019277,0.018787,0.031631
d47_seed6,47,I,7000,base,0.306247,0.318017,0.655953,0.016966,0.504078,0.478956,,,
d47_seed6,47,I,7000,surgical,0.307266,0.319036,0.660480,0.016991,0.509884,0.473125,0.030217,0.034744,0.018727
d47_seed6,47,I,7000,noise_only,0.306209,0.317904,0.656255,0.016856,0.504543,0.478601,0.014863,0.015165,0.035198
d47_seed6,47,I,9000,base,0.313038,0.326392,0.662970,0.019440,0.509390,0.471170,,,
d47_seed6,47,I,9000,surgical,0.313490,0.327297,0.667836,0.020112,0.516156,0.463732,0.027162,0.032028,0.054167
d47_seed6,47,I,9000,noise_only,0.312849,0.326053,0.663234,0.019215,0.509909,0.470876,0.013430,0.013694,0.036626
d47_seed7,47,A,3000,base,0.303078,0.310661,0.665799,0.010880,0.520461,0.468659,,,
d47_seed7,47,A,3000,surgical,0.302399,0.309869,0.658669,0.010707,0.510707,0.478585,0.072318,0.065188,0.012520
d47_seed7,47,A,3000,noise_only,0.303267,0.310774,0.666478,0.010775,0.521306,0.467919,0.027954,0.028633,0.003924
d47_seed7,47,A,5000,base,0.306700,0.314169,0.682096,0.010774,0.541463,0.447764,,,
d47_seed7,47,A,5000,surgical,0.305568,0.313377,0.658782,0.011245,0.508638,0.480117,0.076958,0.053644,0.023529
d47_seed7,47,A,5000,noise_only,0.307417,0.314924,0.680021,0.010839,0.537991,0.451170,0.028256,0.026181,0.020326
d47_seed7,47,A,7000,base,0.310774,0.319149,0.689226,0.012151,0.549097,0.438752,,,
d47_seed7,47,A,7000,surgical,0.308737,0.317678,0.654595,0.012934,0.500327,0.486739,0.085559,0.050928,0.025132
d47_seed7,47,A,7000,noise_only,0.310510,0.318583,0.687491,0.011709,0.546753,0.441539,0.027237,0.025502,0.015272
d47_seed7,47,A,9000,base,0.315867,0.324129,0.705976,0.012076,0.570223,0.417701,,,
d47_seed7,47,A,9000,surgical,0.314962,0.324355,0.663762,0.013712,0.509169,0.477119,0.093142,0.050928,0.024301
d47_seed7,47,A,9000,noise_only,0.315527,0.323789,0.704316,0.012071,0.568014,0.419916,0.028557,0.026898,0.020769
d47_seed8,47,A,3000,base,0.301947,0.306247,0.683115,0.006161,0.546044,0.447795,,,
d47_seed8,47,A,3000,surgical,0.301494,0.306474,0.660480,0.007129,0.513934,0.478937,0.075826,0.053191,0.011940
