run,n,cls,edit,overall,index,type,err_type_only,err_index_only,err_both
d47_seed0,47,A,base,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d47_seed0,47,A,crude,0.864531,0.864531,0.864531,0.000000,0.000000,1.000000
d47_seed0,47,A,surgical,0.871661,0.871661,0.871661,0.000000,0.000000,1.000000
d47_seed0,47,A,noise_only,0.869436,0.869436,0.985363,0.000000,0.888248,0.111752
d47_seed1,47,A,base,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d47_seed1,47,A,crude,0.710276,0.710276,0.710276,0.000000,0.000000,1.000000
d47_seed1,47,A,surgical,0.683228,0.683228,0.683228,0.000000,0.000000,1.000000
d47_seed1,47,A,noise_only,0.764184,0.764184,0.969217,0.000000,0.868985,0.131015
d47_seed3,47,A,base,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d47_seed3,47,A,crude,0.950317,0.950317,0.950317,0.000000,0.000000,1.000000
d47_seed3,47,A,surgical,0.955523,0.955636,0.955523,0.002545,0.000000,0.997455
d47_seed3,47,A,noise_only,0.944281,0.944281,0.993738,0.000000,0.887009,0.112991
d47_seed4,47,B,base,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d47_seed4,47,B,crude,0.998981,0.998981,0.999547,0.000000,0.555556,0.444444
d47_seed4,47,B,surgical,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d47_seed4,47,B,noise_only,0.999887,0.999887,1.000000,0.000000,0.666667,0.000000
d47_seed7,47,A,base,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d47_seed7,47,A,crude,0.867587,0.869511,0.867587,0.014530,0.000000,0.985470
d47_seed7,47,A,surgical,0.864192,0.865776,0.864192,0.011667,0.000000,0.988333
d47_seed7,47,A,noise_only,0.862721,0.863098,0.980836,0.002847,0.859372,0.137782
d47_seed8,47,A,base,0.999660,0.999660,1.000000,0.000000,1.000000,0.000000
d47_seed8,47,A,crude,0.860684,0.861928,0.861136,0.008936,0.003249,0.987815
d47_seed8,47,A,surgical,0.860344,0.860344,0.860457,0.000000,0.000810,0.999190
d47_seed8,47,A,noise_only,0.802965,0.802965,0.977705,0.000000,0.886822,0.113178
d47_seed9,47,A,base,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d47_seed9,47,A,crude,0.927456,0.927682,0.927569,0.003120,0.001560,0.995320
d47_seed9,47,A,surgical,0.981553,0.981779,0.981553,0.012270,0.000000,0.987730
d47_seed9,47,A,noise_only,0.917761,0.917761,0.998340,0.000000,0.979509,0.020491
d51_seed0,51,B,base,0.996924,0.996924,1.000000,0.000000,1.000000,0.000000
d51_seed0,51,B,crude,0.995579,0.995579,0.999616,0.000000,0.913043,0.086957
d51_seed0,51,B,surgical,0.996732,0.996732,0.999808,0.000000,0.941176,0.058824
d51_seed0,51,B,noise_only,0.995515,0.995515,0.999904,0.000000,0.978390,0.021610
d51_seed2,51,A,base,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d51_seed2,51,A,crude,0.898789,0.898885,0.898789,0.000950,0.000000,0.999050
d51_seed2,51,A,surgical,0.879566,0.879662,0.879566,0.000798,0.000000,0.999202
d51_seed2,51,A,noise_only,0.869698,0.869698,0.978342,0.000000,0.834324,0.165676
d53_seed1,53,A,base,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
