n,seed,dc_frac,mean_cos,med_conc
47,0,0.019395,0.140123,0.153597
47,1,0.019729,0.139978,0.154906
47,2,0.019135,0.138293,0.153981
47,3,0.023738,0.153645,0.154766
47,4,0.018998,0.136973,0.154296
47,5,0.017622,0.133782,0.153770
47,6,0.018950,0.138509,0.155085
47,7,0.020285,0.141782,0.159207
47,8,0.021362,0.146487,0.155233
47,9,0.023208,0.152284,0.154994
47,10,0.018471,0.134838,0.155128
47,11,0.022849,0.152037,0.155420
47,12,0.018878,0.137367,0.155996
47,13,0.020373,0.143258,0.153927
47,14,0.023979,0.154760,0.154618
47,15,0.022232,0.150049,0.156654
47,16,0.024211,0.155321,0.155171
47,17,0.022891,0.152200,0.156326
47,18,0.023040,0.151504,0.153909
47,19,0.022361,0.149237,0.154541
47,20,0.018541,0.135930,0.153618
47,21,0.026317,0.161058,0.153489
47,22,0.023896,0.154148,0.153860
47,23,0.022933,0.150686,0.155161
47,24,0.020021,0.140293,0.156796
47,25,0.019602,0.140871,0.153599
47,26,0.022300,0.148773,0.155771
47,27,0.022723,0.150079,0.154482
47,28,0.018271,0.134770,0.154148
47,29,0.023402,0.152668,0.153702
51,0,0.019989,0.140946,0.144613
51,1,0.023220,0.151193,0.146243
51,2,0.019521,0.138143,0.146374
51,3,0.018242,0.134932,0.146370
51,4,0.014083,0.117662,0.146340
51,5,0.019885,0.141113,0.146005
51,6,0.018622,0.135563,0.145826
51,7,0.018506,0.134900,0.143823
51,8,0.020697,0.144610,0.143334
51,9,0.020619,0.143121,0.144793
51,10,0.016600,0.127786,0.147060
51,11,0.017106,0.130480,0.146679
51,12,0.015301,0.123454,0.140276
51,13,0.020288,0.140762,0.144733
51,14,0.017798,0.133472,0.145735
51,15,0.021680,0.146967,0.145722
51,16,0.027123,0.165017,0.144193
51,17,0.017086,0.129911,0.146492
51,18,0.018180,0.136525,0.143991
51,19,0.019585,0.139073,0.148309
51,20,0.019653,0.140072,0.144588
51,21,0.020391,0.143157,0.145951
51,22,0.019165,0.137707,0.144319
51,23,0.019967,0.141900,0.143614
51,24,0.021566,0.146832,0.147368
51,25,0.022099,0.148250,0.145670
51,26,0.019267,0.137355,0.145142
51,27,0.018437,0.136139,0.147004
51,28,0.016640,0.128077,0.146382
51,29,0.018723,0.136693,0.144994
53,0,0.019903,0.139779,0.139864
53,1,0.021351,0.145940,0.143120
53,2,0.017082,0.129251,0.144089
53,3,0.016677,0.128999,0.140078
53,4,0.016709,0.129546,0.139219
53,5,0.020806,0.145099,0.140672
53,6,0.016822,0.129497,0.141910
53,7,0.021136,0.144265,0.142134
53,8,0.019316,0.139653,0.141367
53,9,0.021515,0.146624,0.139798
53,10,0.017136,0.131560,0.142105
53,11,0.021157,0.144544,0.141467
53,12,0.017173,0.131993,0.144641
53,13,0.017821,0.132595,0.143213
53,14,0.014160,0.118830,0.141923
53,15,0.017126,0.130746,0.141863
53,16,0.020574,0.144111,0.141876
53,17,0.019090,0.138229,0.140216
53,18,0.015548,0.124867,0.140491
53,19,0.020618,0.144456,0.144207
53,20,0.017235,0.131154,0.140949
53,21,0.022907,0.150228,0.141478
53,22,0.015869,0.126717,0.140619
53,23,0.020619,0.143613,0.142317
53,24,0.020266,0.141826,0.140377
53,25,0.017367,0.130385,0.142394
53,26,0.021061,0.145025,0.141839
53,27,0.020002,0.140898,0.143746
53,28,0.016055,0.125398,0.141905
53,29,0.017824,0.132822,0.141397
55,0,0.015534,0.123595,0.138859
55,1,0.018040,0.134320,0.137205
55,2,0.017985,0.133363,0.136075
55,3,0.018225,0.134153,0.138683
55,4,0.018511,0.134448,0.136414
55,5,0.017135,0.130474,0.136559
55,6,0.016411,0.127476,0.137491
55,7,0.020117,0.142489,0.134979
55,8,0.016414,0.126652,0.136881
55,9,0.019263,0.138421,0.137275
55,10,0.020916,0.143458,0.135696
55,11,0.017922,0.134224,0.138097
55,12,0.018274,0.134472,0.135995
55,13,0.020089,0.141463,0.137617
55,14,0.018088,0.133368,0.136727
55,15,0.017348,0.132017,0.138154
55,16,0.018827,0.137100,0.137828
