run,n,cls,is_prime,base,override,lin_out,lin_op1,lin_op2
d47_seed0,47,A,1,1.0000,97.8271,100.0000,98.6043,97.9253
d47_seed1,47,A,1,1.0000,99.7963,100.0000,98.0762,97.9630
d47_seed3,47,A,1,1.0000,94.7940,100.0000,95.6243,88.0800
d47_seed7,47,A,1,1.0000,-2.0824,100.0000,92.1162,93.7382
d47_seed8,47,A,1,0.9997,-10.2309,100.0000,95.2848,95.3225
d51_seed2,51,A,0,1.0000,4.6328,100.0000,98.8149,98.4946
d53_seed1,53,A,1,1.0000,97.1520,100.0000,87.5408,92.8508
d59_30pct_seed0,59,A,1,1.0000,99.1525,100.0000,98.7793,97.3432
d59_30pct_seed1,59,A,1,0.9998,84.0850,100.0000,95.5720,94.9976
d59_30pct_seed3,59,A,1,1.0000,78.1528,100.0000,97.5108,98.1331
d59_30pct_seed4_resumed,59,A,1,0.9959,77.5352,100.0000,88.1283,85.0646
d61_seed2,61,A,1,1.0000,85.6490,100.0000,94.6485,95.0067
d61_seed8,61,A,1,1.0000,87.9602,100.0000,97.0219,97.6489
d63_seed2,63,A,0,1.0000,90.1109,100.0000,90.0063,90.5102
d63_seed8,63,A,0,1.0000,67.6871,100.0000,87.2769,85.6813
d47_seed9,47,A,1,1.0000,85.6722,99.9246,98.7929,98.0385
d47_seed6,47,I,1,0.9958,-9.0086,87.8914,82.6481,81.7805
d61_seed4,61,I,1,1.0000,-23.6764,85.1321,90.1254,90.8195
d63_seed4,63,B,0,1.0000,2.2298,70.3548,99.8740,99.5171
d63_seed5,63,B,0,1.0000,8.5538,69.0741,88.4737,88.0118
d63_seed3,63,B,0,1.0000,0.9952,68.9691,95.2551,92.4837
d63_seed7,63,B,0,1.0000,1.9526,62.2297,91.6649,89.7754
d61_seed6,61,B,1,1.0000,-1.3169,60.3000,98.2983,98.2087
d61_seed1,61,B,1,1.0000,1.9753,58.3072,98.0967,97.1563
d63_seed6,63,B,0,1.0000,-0.3275,57.0019,95.6960,92.9666
d55_seed0,55,B,0,1.0000,-0.1983,56.8320,92.4242,89.1736
d63_seed9,63,B,0,1.0000,4.0564,55.9521,93.9534,93.5755
d47_seed4,47,B,1,1.0000,-8.7144,51.8295,88.2686,86.7220
d55_seed2,55,B,0,0.9974,-1.5041,51.2672,66.1157,67.2452
d63_seed1,63,B,0,1.0000,1.1338,50.7663,97.0817,88.7676
d63_seed0,63,B,0,1.0000,-7.0799,49.7166,91.4760,90.9091
d51_seed0,51,B,0,0.9969,4.0561,49.5195,81.0698,78.1230
d61_seed0,61,B,1,1.0000,23.2330,48.6565,99.8209,91.0210
d53_seed2,53,B,1,1.0000,-0.0356,48.4426,92.6135,99.9703
d61_seed9,61,B,1,1.0000,-0.7928,44.7828,88.4236,96.4174
