  Surgical vs crude removal of the type bit from the output layer.

  run                      cls |   base |   surg  s_idx  s_typ |  crude |   shuf  noise
  d47_seed0                  A |  1.000 |  0.872  0.872  0.872 |  0.865 |  0.871  0.869
  d47_seed1                  A |  1.000 |  0.683  0.683  0.683 |  0.710 |  0.766  0.764
  d47_seed3                  A |  1.000 |  0.956  0.956  0.956 |  0.950 |  0.950  0.944
  d47_seed4                  B |  1.000 |  1.000  1.000  1.000 |  0.999 |  1.000  1.000
  d47_seed6                  I |  0.996 |  0.914  0.916  0.917 |  0.887 |  0.906  0.914
  d47_seed7                  A |  1.000 |  0.864  0.866  0.864 |  0.868 |  0.857  0.863
  d47_seed8                  A |  1.000 |  0.860  0.860  0.860 |  0.861 |  0.798  0.803
  d47_seed9                  A |  1.000 |  0.982  0.982  0.982 |  0.927 |  0.915  0.918
  d51_seed0                  B |  0.997 |  0.997  0.997  1.000 |  0.996 |  0.994  0.996
  d51_seed2                  A |  1.000 |  0.880  0.880  0.880 |  0.899 |  0.861  0.870
  d53_seed1                  A |  1.000 |  0.850  0.851  0.850 |  0.890 |  0.862  0.854
  d53_seed2                  B |  1.000 |  1.000  1.000  1.000 |  0.981 |  0.999  1.000
  d55_seed0                  B |  1.000 |  1.000  1.000  1.000 |  0.989 |  1.000  1.000
  d55_seed2                  B |  0.997 |  0.995  0.995  0.997 |  0.995 |  0.986  0.987
  d59_30pct_seed0            A |  1.000 |  0.894  0.894  0.894 |  0.901 |  0.872  0.877
  d59_30pct_seed1            A |  1.000 |  0.947  0.947  0.947 |  0.948 |  0.924  0.926
  d59_30pct_seed3            A |  1.000 |  0.868  0.870  0.868 |  0.892 |  0.802  0.805
  d59_30pct_seed4_resumed    A |  0.996 |  0.901  0.901  0.903 |  0.901 |  0.872  0.875
  d61_seed0                  B |  1.000 |  1.000  1.000  1.000 |  0.997 |  1.000  1.000
  d61_seed1                  B |  1.000 |  1.000  1.000  1.000 |  0.996 |  1.000  1.000
  d61_seed2                  A |  1.000 |  0.883  0.887  0.883 |  0.895 |  0.894  0.897
  d61_seed4                  I |  1.000 |  0.967  0.967  0.967 |  0.910 |  0.952  0.949
  d61_seed6                  B |  1.000 |  1.000  1.000  1.000 |  0.982 |  1.000  1.000
  d61_seed8                  A |  1.000 |  0.989  0.989  0.989 |  0.987 |  0.960  0.960
  d61_seed9                  B |  1.000 |  1.000  1.000  1.000 |  0.958 |  0.999  0.999
  d63_seed0                  B |  1.000 |  1.000  1.000  1.000 |  0.999 |  1.000  1.000
  d63_seed1                  B |  1.000 |  1.000  1.000  1.000 |  0.979 |  1.000  1.000
  d63_seed2                  A |  1.000 |  0.799  0.799  0.799 |  0.811 |  0.803  0.796
  d63_seed3                  B |  1.000 |  1.000  1.000  1.000 |  0.951 |  1.000  1.000
  d63_seed4                  B |  1.000 |  0.997  0.998  0.997 |  0.706 |  0.997  0.997
  d63_seed5                  B |  1.000 |  1.000  1.000  1.000 |  0.997 |  1.000  1.000
  d63_seed6                  B |  1.000 |  1.000  1.000  1.000 |  0.994 |  1.000  1.000
  d63_seed7                  B |  1.000 |  1.000  1.000  1.000 |  0.966 |  0.999  0.999
  d63_seed8                  A |  1.000 |  0.923  0.923  0.923 |  0.936 |  0.876  0.881
  d63_seed9                  B |  1.000 |  1.000  1.000  1.000 |  0.999 |  1.000  1.000

  wrote 35 rows to results/dc_surgical_ablation.csv

  class A (n=16): base 1.000 | surgical 0.884 (idx 0.885, typ 0.885) | crude 0.890 | shuffled 0.868 | noise-only 0.869
           surgical worst run 0.683
  class B (n=17): base 1.000 | surgical 0.999 (idx 0.999, typ 1.000) | crude 0.970 | shuffled 0.998 | noise-only 0.999
           surgical worst run 0.995
  class I (n=2): base 0.998 | surgical 0.940 (idx 0.942, typ 0.942) | crude 0.898 | shuffled 0.929 | noise-only 0.932
           surgical worst run 0.914
