  Matched-magnitude perturbation sensitivity, random directions.
  f = induced logit change as a fraction of the model's own logit sd.

  run                      cls |   base   f=0.1   f=0.2   f=0.4
  d47_seed0                  A |  1.000   0.999   0.962   0.763
  d47_seed1                  A |  1.000   0.876   0.708   0.616
  d47_seed3                  A |  1.000   0.998   0.944   0.725
  d47_seed4                  B |  1.000   0.943   0.767   0.642
  d47_seed6                  I |  0.996   0.973   0.814   0.617
  d47_seed7                  A |  1.000   0.975   0.847   0.707
  d47_seed8                  A |  1.000   0.994   0.905   0.745
  d47_seed9                  A |  1.000   0.991   0.843   0.643
  d51_seed0                  B |  0.997   0.991   0.937   0.706
  d51_seed2                  A |  1.000   0.999   0.956   0.767
  d53_seed1                  A |  1.000   0.998   0.938   0.701
  d53_seed2                  B |  1.000   1.000   0.984   0.835
  d55_seed0                  B |  1.000   1.000   0.977   0.818
  d55_seed2                  B |  0.997   0.962   0.832   0.676
  d59_30pct_seed0            A |  1.000   0.999   0.964   0.795
  d59_30pct_seed1            A |  1.000   0.990   0.868   0.694
  d59_30pct_seed3            A |  1.000   0.972   0.801   0.624
  d59_30pct_seed4_resumed    A |  0.996   0.970   0.829   0.628
  d61_seed0                  B |  1.000   0.999   0.962   0.676
  d61_seed1                  B |  1.000   0.999   0.968   0.815
  d61_seed2                  A |  1.000   0.999   0.953   0.740
  d61_seed4                  I |  1.000   0.993   0.881   0.699
  d61_seed6                  B |  1.000   0.970   0.773   0.608
  d61_seed8                  A |  1.000   0.971   0.606   0.513
  d61_seed9                  B |  1.000   0.848   0.666   0.577
  d63_seed0                  B |  1.000   0.992   0.837   0.600
  d63_seed1                  B |  1.000   1.000   0.981   0.800
  d63_seed2                  A |  1.000   0.926   0.698   0.577
  d63_seed3                  B |  1.000   0.995   0.922   0.763
  d63_seed4                  B |  1.000   0.997   0.943   0.719
  d63_seed5                  B |  1.000   0.991   0.843   0.627
  d63_seed6                  B |  1.000   0.999   0.970   0.832
  d63_seed7                  B |  1.000   0.996   0.896   0.619
  d63_seed8                  A |  1.000   1.000   0.996   0.761
  d63_seed9                  B |  1.000   1.000   0.996   0.803

  wrote 35 rows to results/perturbation_sensitivity.csv

  class A (n=16): base 1.000 | f=0.1: 0.979 f=0.2: 0.864 f=0.4: 0.687
  class B (n=17): base 1.000 | f=0.1: 0.981 f=0.2: 0.897 f=0.4: 0.713
  class I (n=2): base 0.998 | f=0.1: 0.983 f=0.2: 0.848 f=0.4: 0.658
