  Type-discriminating structure across the output layer, by frequency.

  run                                          cls  dc_frac  top_k  top_frac    top3  chance
  d47_seed0                                      A    0.127      3     0.297   0.651   0.021
  d47_seed1                                      A    0.146     23     0.304   0.634   0.021
  d47_seed3                                      A    0.133      3     0.290   0.700   0.021
  d47_seed4                                      B    0.006     16     0.361   0.741   0.021
  d47_seed6                                      I    0.123      8     0.304   0.679   0.021
  d47_seed7                                      A    0.145      2     0.299   0.662   0.021
  d47_seed8                                      A    0.158      3     0.299   0.767   0.021
  d47_seed9                                      A    0.130     19     0.409   0.724   0.021
  d51_seed0                                      B    0.018     15     0.345   0.716   0.020
  d51_seed2                                      A    0.161      5     0.211   0.609   0.020
  d53_seed1                                      A    0.212     10     0.278   0.693   0.019
  d53_seed2                                      B    0.018      1     0.326   0.769   0.019
  d55_seed0                                      B    0.010     24     0.343   0.752   0.018
  d55_seed2                                      B    0.060     11     0.231   0.533   0.018
  d59_30pct_seed0                                A    0.132      2     0.310   0.634   0.017
  d59_30pct_seed1                                A    0.167     13     0.265   0.638   0.017
  d59_30pct_seed3                                A    0.138     20     0.331   0.651   0.017
  d59_30pct_seed4_resumed                        A    0.121      3     0.317   0.610   0.017
  d61_seed0                                      B    0.009     27     0.287   0.697   0.016
  d61_seed1                                      B    0.004      6     0.267   0.665   0.016
  d61_seed2                                      A    0.212      6     0.267   0.684   0.016
  d61_seed4                                      I    0.038      3     0.282   0.791   0.016
  d61_seed6                                      B    0.006     20     0.345   0.754   0.016
  d61_seed8                                      A    0.125     28     0.499   0.643   0.016
  d61_seed9                                      B    0.016     27     0.333   0.696   0.016
  d63_seed0                                      B    0.027     26     0.369   0.794   0.016
  d63_seed1                                      B    0.011     24     0.344   0.818   0.016
  d63_seed2                                      A    0.172     17     0.442   0.675   0.016
  d63_seed3                                      B    0.013     23     0.250   0.685   0.016
  d63_seed4                                      B    0.010     23     0.371   0.754   0.016
  d63_seed5                                      B    0.016     26     0.432   0.700   0.016
  d63_seed6                                      B    0.008      6     0.240   0.580   0.016
  d63_seed7                                      B    0.022      4     0.406   0.783   0.016
  d63_seed8                                      A    0.202     26     0.252   0.665   0.016
  d63_seed9                                      B    0.008     26     0.347   0.862   0.016

  wrote 35 rows to results/type_structure_spectrum.csv

  class A (n=16): dc_frac 0.155 [0.121, 0.212]  top_frac 0.317 [0.211, 0.499]  top3 0.665  chance 0.019
  class B (n=17): dc_frac 0.015 [0.004, 0.060]  top_frac 0.329 [0.231, 0.432]  top3 0.723  chance 0.017
  class I (n=2): dc_frac 0.080 [0.038, 0.123]  top_frac 0.293 [0.282, 0.304]  top3 0.735  chance 0.019
