scope,metric,k_A,k_B,mean_A,mean_B,diff,ci_lo,ci_hi,hedges_g,perm_p
pooled,perp_logit,16,17,2.161722,2.150154,0.011569,-0.229995,0.259542,0.030328,0.930950
pooled,perp_perp,16,17,2.278899,2.224229,0.054669,-0.207319,0.329370,0.131775,0.695100
pooled,perp_geom,16,17,0.236217,0.220226,0.015991,-0.027769,0.061230,0.234186,0.497850
D_47,perp_logit,6,1,2.165698,1.770356,0.395342,,,,
D_51,perp_logit,1,1,2.230083,2.816403,-0.586320,,,,
D_53,perp_logit,1,1,2.011156,2.600382,-0.589226,,,,
D_61,perp_logit,2,4,1.863977,1.892420,-0.028443,,,,
D_63,perp_logit,2,8,2.007309,2.166445,-0.159136,,,,
D_47,perp_perp,6,1,2.282014,1.828963,0.453051,,,,
D_51,perp_perp,1,1,2.424405,2.856488,-0.432083,,,,
D_53,perp_perp,1,1,2.105718,2.809728,-0.704010,,,,
D_61,perp_perp,2,4,1.944797,1.940308,0.004488,,,,
D_63,perp_perp,2,8,2.120596,2.246175,-0.125578,,,,
D_47,perp_geom,6,1,0.279850,0.275499,0.004351,,,,
D_51,perp_geom,1,1,0.210036,0.133723,0.076313,,,,
D_53,perp_geom,1,1,0.177650,0.264588,-0.086938,,,,
D_61,perp_geom,2,4,0.187487,0.227753,-0.040266,,,,
D_63,perp_geom,2,8,0.229727,0.209396,0.020331,,,,
