run,n,cls,target_val,epoch,val,base,surgical,noise_only
d47_seed0,47,A,0.35,51000,0.336728,0.975667,0.580000,0.956556
d47_seed0,47,A,0.5,54000,0.498868,0.982333,0.589667,0.958333
d47_seed0,47,A,0.7,56000,0.687682,0.987333,0.609667,0.964111
d47_seed0,47,A,0.9,58000,0.946007,0.998667,0.694333,0.968778
d47_seed1,47,A,0.35,30000,0.362916,0.983333,0.663333,0.965444
d47_seed1,47,A,0.5,34000,0.485613,0.986333,0.666667,0.965556
d47_seed1,47,A,0.7,38000,0.681216,0.990667,0.689667,0.972889
d47_seed1,47,A,0.9,40000,0.881668,0.998667,0.787667,0.980889
d47_seed3,47,A,0.35,34000,0.348044,0.978667,0.645667,0.959444
d47_seed3,47,A,0.5,41000,0.498545,0.984333,0.668667,0.964889
d47_seed3,47,A,0.7,45000,0.744100,0.987000,0.705667,0.962333
d47_seed3,47,A,0.9,46000,0.866796,0.992000,0.722000,0.962778
d47_seed4,47,B,0.35,26000,0.355642,0.918000,0.916333,0.918333
d47_seed4,47,B,0.5,27000,0.458293,0.948667,0.941667,0.947889
d47_seed4,47,B,0.7,29000,0.701099,0.976667,0.972000,0.976111
d47_seed4,47,B,0.9,31000,0.893146,0.993333,0.985667,0.992444
d47_seed6,47,I,0.35,20000,0.306499,0.772000,0.775333,0.773111
d47_seed6,47,I,0.5,21000,0.484643,0.834333,0.832667,0.836111
d47_seed6,47,I,0.7,22000,0.701908,0.912333,0.903333,0.911333
d47_seed6,47,I,0.9,24000,0.928710,0.987667,0.974333,0.985000
d47_seed7,47,A,0.35,34000,0.345942,0.979333,0.596000,0.961556
d47_seed7,47,A,0.5,37000,0.495150,0.982667,0.629333,0.964778
d47_seed7,47,A,0.9,41000,0.883931,0.996000,0.693333,0.968556
d47_seed8,47,A,0.35,23000,0.353540,0.983000,0.644667,0.969333
d47_seed8,47,A,0.5,25000,0.494504,0.989333,0.674000,0.972111
d47_seed8,47,A,0.7,27000,0.671031,0.992667,0.727000,0.980556
d47_seed8,47,A,0.9,29000,0.908180,0.997000,0.808667,0.985667
d47_seed9,47,A,0.35,20000,0.370514,0.981000,0.613000,0.965667
d47_seed9,47,A,0.5,21000,0.496605,0.988333,0.646333,0.970444
d47_seed9,47,A,0.7,22000,0.687035,0.994667,0.701000,0.975000
d47_seed9,47,A,0.9,23000,0.885063,0.999333,0.796667,0.980889
d61_seed0,61,B,0.35,13000,0.360015,0.935667,0.921333,0.931111
d61_seed0,61,B,0.5,14000,0.489298,0.970333,0.959333,0.970556
d61_seed0,61,B,0.7,16000,0.723102,0.993333,0.988667,0.993222
d61_seed0,61,B,0.9,17000,0.903542,0.998333,0.998333,0.998222
d61_seed1,61,B,0.35,14000,0.302620,0.852667,0.848333,0.850889
d61_seed2,61,A,0.35,17000,0.380075,0.984000,0.625000,0.970556
d61_seed2,61,A,0.5,18000,0.534600,0.984000,0.643667,0.966556
d61_seed2,61,A,0.7,19000,0.698628,0.985333,0.672667,0.964667
d61_seed4,61,I,0.35,19000,0.337844,0.803000,0.800000,0.803000
d61_seed4,61,I,0.5,20000,0.479988,0.844000,0.839333,0.843556
d61_seed6,61,B,0.5,14000,0.511181,0.959000,0.954333,0.958111
d61_seed6,61,B,0.9,15000,0.855552,0.993000,0.986333,0.992444
d61_seed8,61,A,0.35,14000,0.332374,0.984667,0.649000,0.970889
d61_seed8,61,A,0.7,17000,0.743258,0.991000,0.766000,0.977444
d61_seed8,61,A,0.9,18000,0.893944,0.997667,0.846000,0.984667
d61_seed9,61,B,0.35,19000,0.327863,0.850000,0.849000,0.850111
d61_seed9,61,B,0.5,20000,0.510894,0.929333,0.928000,0.929333
d61_seed9,61,B,0.7,22000,0.709377,0.986000,0.983000,0.985444
d61_seed9,61,B,0.9,24000,0.883578,0.997333,0.997000,0.997333
d63_seed0,63,B,0.35,17000,0.339392,0.966667,0.961667,0.967000
d63_seed1,63,B,0.35,10000,0.396707,0.966000,0.956333,0.963333
d63_seed1,63,B,0.9,11000,0.938186,0.999333,0.999000,0.999333
d63_seed2,63,A,0.9,18000,0.862066,0.996333,0.773333,0.980444
d63_seed3,63,B,0.35,17000,0.368814,0.849333,0.848000,0.847778
d63_seed3,63,B,0.9,31000,0.897967,0.957333,0.954333,0.950556
d63_seed4,63,B,0.7,11000,0.747976,0.981000,0.981667,0.980222
d63_seed5,63,B,0.5,9000,0.472917,0.945000,0.941667,0.944778
d63_seed5,63,B,0.7,10000,0.672935,0.981000,0.973667,0.977667
d63_seed5,63,B,0.9,11000,0.857657,0.993000,0.992667,0.992778
d63_seed6,63,B,0.5,17000,0.523664,0.835000,0.832000,0.831000
d63_seed7,63,B,0.35,15000,0.309789,0.811667,0.813333,0.812556
d63_seed8,63,A,0.35,17000,0.366835,0.988667,0.665667,0.972889
d63_seed8,63,A,0.5,18000,0.461130,0.990333,0.652000,0.970444
d63_seed8,63,A,0.9,21000,0.933507,0.995333,0.761000,0.974667
