run,n,cls,target_val,epoch,edit,overall,index,type,err_type_only,err_index_only,err_both,typ_break,typ_fix,partner_frac
d47_seed0,47,A,0.35,51000,base,0.535650,0.535876,0.976120,0.000487,0.948574,0.050938,,,
d47_seed0,47,A,0.35,51000,surgical,0.400407,0.401766,0.591670,0.002265,0.318988,0.678747,0.384563,0.000113,0.002354
d47_seed0,47,A,0.35,51000,noise_only,0.421835,0.422099,0.957900,0.000455,0.927190,0.072355,0.026860,0.008639,0.000000
d47_seed0,47,A,0.5,54000,base,0.649163,0.649163,0.982119,0.000000,0.949032,0.050968,,,
d47_seed0,47,A,0.5,54000,surgical,0.464916,0.466048,0.601403,0.002115,0.255076,0.742809,0.380715,0.000000,0.001784
d47_seed0,47,A,0.5,54000,noise_only,0.500830,0.501019,0.960427,0.000379,0.920710,0.078911,0.028407,0.006715,0.001468
d47_seed0,47,A,0.7,56000,base,0.781349,0.781462,0.988343,0.000518,0.946687,0.052795,,,
d47_seed0,47,A,0.7,56000,surgical,0.542100,0.543119,0.626641,0.002224,0.184627,0.813149,0.361815,0.000113,0.002815
d47_seed0,47,A,0.7,56000,noise_only,0.590161,0.590275,0.965067,0.000276,0.914746,0.084978,0.027803,0.004527,0.001468
d47_seed0,47,A,0.9,58000,base,0.962200,0.962200,0.999095,0.000000,0.976048,0.023952,,,
d47_seed0,47,A,0.9,58000,surgical,0.683001,0.683115,0.696356,0.000357,0.042128,0.957515,0.302739,0.000000,0.001121
d47_seed0,47,A,0.9,58000,noise_only,0.732270,0.732270,0.972801,0.000000,0.898388,0.101612,0.026860,0.000566,0.000000
d47_seed1,47,A,0.35,30000,base,0.553984,0.554210,0.981779,0.000507,0.959147,0.040345,,,
d47_seed1,47,A,0.35,30000,surgical,0.446695,0.450317,0.666931,0.006545,0.398036,0.595418,0.314848,0.000000,0.009346
d47_seed1,47,A,0.35,30000,noise_only,0.468198,0.468387,0.964954,0.000355,0.934094,0.065551,0.024144,0.007319,0.003319
d47_seed1,47,A,0.5,34000,base,0.639882,0.639995,0.985627,0.000314,0.960088,0.039598,,,
d47_seed1,47,A,0.5,34000,surgical,0.492983,0.494681,0.663649,0.003348,0.336607,0.660045,0.321978,0.000000,0.007030
d47_seed1,47,A,0.5,34000,noise_only,0.517693,0.517768,0.966727,0.000156,0.930999,0.068844,0.024483,0.005583,0.004534
d47_seed1,47,A,0.7,38000,base,0.776822,0.776822,0.991852,0.000000,0.963489,0.036511,,,
d47_seed1,47,A,0.7,38000,surgical,0.596650,0.597216,0.694658,0.001403,0.242985,0.755612,0.297193,0.000000,0.002666
d47_seed1,47,A,0.7,38000,noise_only,0.614833,0.614871,0.973102,0.000097,0.930123,0.069780,0.021692,0.002943,0.001949
d47_seed1,47,A,0.9,40000,base,0.917157,0.917157,0.998076,0.000000,0.976776,0.023224,,,
d47_seed1,47,A,0.9,40000,surgical,0.755998,0.756225,0.792780,0.000928,0.150742,0.848330,0.205297,0.000000,0.000551
d47_seed1,47,A,0.9,40000,noise_only,0.748566,0.748566,0.981440,0.000000,0.925905,0.074095,0.017542,0.000905,0.000000
d47_seed3,47,A,0.35,34000,base,0.543572,0.543572,0.982458,0.000000,0.961567,0.038433,,,
d47_seed3,47,A,0.35,34000,surgical,0.414101,0.415686,0.645880,0.002704,0.395596,0.601700,0.336578,0.000000,0.004035
d47_seed3,47,A,0.35,34000,noise_only,0.427494,0.427531,0.964577,0.000067,0.938129,0.061804,0.024181,0.006300,0.008125
d47_seed3,47,A,0.5,41000,base,0.648936,0.648936,0.984382,0.000000,0.955513,0.044487,,,
d47_seed3,47,A,0.5,41000,surgical,0.504414,0.506677,0.683001,0.004567,0.360356,0.635077,0.301494,0.000113,0.004129
d47_seed3,47,A,0.5,41000,noise_only,0.515278,0.515354,0.967557,0.000155,0.933067,0.066777,0.021956,0.005131,0.003440
d47_seed3,47,A,0.7,45000,base,0.820847,0.821073,0.988230,0.001263,0.934302,0.064435,,,
d47_seed3,47,A,0.7,45000,surgical,0.640222,0.642259,0.721707,0.005662,0.226486,0.767852,0.266636,0.000113,0.005518
d47_seed3,47,A,0.7,45000,noise_only,0.656971,0.657160,0.966274,0.000552,0.901668,0.097780,0.026445,0.004489,0.002840
d47_seed3,47,A,0.9,46000,base,0.906745,0.906858,0.992078,0.001214,0.915049,0.083738,,,
d47_seed3,47,A,0.9,46000,surgical,0.697940,0.700543,0.736306,0.008617,0.127014,0.864369,0.255772,0.000000,0.009735
d47_seed3,47,A,0.9,46000,noise_only,0.721782,0.722122,0.967180,0.001219,0.882037,0.116744,0.027803,0.002905,0.008068
d47_seed4,47,B,0.35,26000,base,0.548891,0.552173,0.924174,0.007275,0.831912,0.160813,,,
d47_seed4,47,B,0.35,26000,surgical,0.547080,0.550928,0.920439,0.008496,0.824338,0.167166,0.011204,0.007469,0.050505
d47_seed4,47,B,0.35,26000,noise_only,0.548400,0.551909,0.923985,0.007769,0.831679,0.160552,0.004565,0.004376,0.032643
d47_seed4,47,B,0.5,27000,base,0.620756,0.622793,0.950091,0.005372,0.868397,0.126231,,,
d47_seed4,47,B,0.5,27000,surgical,0.619851,0.622114,0.942847,0.005954,0.849658,0.144388,0.012110,0.004866,0.009346
d47_seed4,47,B,0.5,27000,noise_only,0.619964,0.621963,0.948883,0.005261,0.865495,0.129244,0.004489,0.003282,0.025308
d47_seed4,47,B,0.7,29000,base,0.790742,0.791195,0.977705,0.002163,0.893456,0.104381,,,
d47_seed4,47,B,0.7,29000,surgical,0.787121,0.787913,0.971367,0.003721,0.865497,0.130781,0.008828,0.002490,0.025641
d47_seed4,47,B,0.7,29000,noise_only,0.784480,0.784895,0.976913,0.001924,0.892869,0.105207,0.003395,0.002603,0.000000
d47_seed4,47,B,0.9,31000,base,0.925192,0.925306,0.992757,0.001513,0.903177,0.095310,,,
d47_seed4,47,B,0.9,31000,surgical,0.921684,0.922024,0.987551,0.004335,0.841040,0.154624,0.005545,0.000340,0.040816
d47_seed4,47,B,0.9,31000,noise_only,0.916478,0.916629,0.992078,0.001793,0.905182,0.093025,0.001660,0.000981,0.017544
