run,n,cls,base,f0.1,f0.2,f0.4
d47_seed0,47,A,1.000000,0.999434,0.962238,0.763015
d47_seed1,47,A,1.000000,0.875660,0.708164,0.615739
d47_seed3,47,A,1.000000,0.997661,0.944055,0.725140
d47_seed4,47,B,1.000000,0.942923,0.767202,0.642259
d47_seed6,47,I,0.995813,0.973065,0.813943,0.617134
d47_seed7,47,A,1.000000,0.975177,0.847216,0.706768
d47_seed8,47,A,0.999660,0.994455,0.905312,0.744983
d47_seed9,47,A,1.000000,0.990946,0.842764,0.642561
d51_seed0,51,B,0.996924,0.991446,0.936563,0.706395
d51_seed2,51,A,1.000000,0.999423,0.955850,0.767013
d53_seed1,53,A,1.000000,0.997834,0.938145,0.700872
d53_seed2,53,B,1.000000,0.999585,0.983565,0.835202
d55_seed0,55,B,1.000000,0.999669,0.976997,0.818264
d55_seed2,55,B,0.997438,0.962287,0.832039,0.675923
d59_30pct_seed0,59,A,1.000000,0.998995,0.964139,0.794647
d59_30pct_seed1,59,A,0.999785,0.989706,0.867782,0.694221
d59_30pct_seed3,59,A,1.000000,0.971680,0.801183,0.624078
d59_30pct_seed4_resumed,59,A,0.995906,0.970195,0.829168,0.627957
d61_seed0,61,B,1.000000,0.999037,0.962174,0.675804
d61_seed1,61,B,1.000000,0.998925,0.968288,0.815462
d61_seed2,61,A,1.000000,0.998903,0.953194,0.739877
d61_seed4,61,I,1.000000,0.992744,0.881394,0.699118
d61_seed6,61,B,1.000000,0.969945,0.773157,0.608215
d61_seed8,61,A,1.000000,0.971132,0.606221,0.512989
d61_seed9,61,B,1.000000,0.847801,0.666084,0.576682
d63_seed0,63,B,1.000000,0.991896,0.836945,0.600172
d63_seed1,63,B,1.000000,0.999580,0.980999,0.800307
d63_seed2,63,A,1.000000,0.925947,0.698224,0.576741
d63_seed3,63,B,1.000000,0.994814,0.921769,0.763060
d63_seed4,63,B,1.000000,0.996851,0.943143,0.719409
d63_seed5,63,B,1.000000,0.990972,0.842530,0.626900
d63_seed6,63,B,1.000000,0.999118,0.970354,0.832200
d63_seed7,63,B,1.000000,0.995612,0.896300,0.619342
d63_seed8,63,A,1.000000,1.000000,0.995759,0.761086
d63_seed9,63,B,1.000000,0.999706,0.996389,0.802826
