run,n,cls,raw_adam,std_adam,std_sweep,ridge,mlp
d47_seed0,47,A,100.0000,100.0000,100.0000,100.0000,100.0000
d47_seed1,47,A,100.0000,100.0000,100.0000,100.0000,100.0000
d47_seed3,47,A,100.0000,100.0000,100.0000,100.0000,100.0000
d47_seed4,47,B,51.1128,47.8687,50.6224,48.0573,100.0000
d47_seed6,47,I,59.7133,84.8359,85.2886,79.9698,100.0000
d47_seed7,47,A,100.0000,100.0000,100.0000,100.0000,100.0000
d47_seed8,47,A,100.0000,100.0000,100.0000,100.0000,100.0000
d47_seed9,47,A,100.0000,100.0000,100.0000,100.0000,100.0000
d51_seed0,51,B,50.0320,52.6906,55.4452,54.9007,100.0000
d51_seed2,51,A,100.0000,100.0000,100.0000,100.0000,100.0000
d53_seed1,53,A,100.0000,100.0000,100.0000,100.0000,100.0000
d53_seed2,53,B,50.2225,46.1584,47.9086,45.8321,100.0000
d55_seed0,55,B,50.8815,47.4931,49.6143,46.9146,100.0000
d55_seed2,55,B,50.6336,49.0083,48.6501,47.9063,100.0000
d59_30pct_seed0,59,A,100.0000,100.0000,100.0000,100.0000,100.0000
d59_30pct_seed1,59,A,100.0000,100.0000,100.0000,100.0000,100.0000
d59_30pct_seed3,59,A,100.0000,100.0000,100.0000,100.0000,100.0000
d59_30pct_seed4_resumed,59,A,100.0000,100.0000,100.0000,100.0000,100.0000
d61_seed0,61,B,49.3730,46.2830,48.3206,46.4398,100.0000
d61_seed1,61,B,49.3730,50.0672,50.2463,48.8580,100.0000
d61_seed2,61,A,100.0000,100.0000,100.0000,100.0000,100.0000
d61_seed4,61,I,63.8603,82.9601,83.7662,76.3547,100.0000
d61_seed6,61,B,50.6270,45.7009,48.8580,46.2606,100.0000
d61_seed8,61,A,100.0000,100.0000,100.0000,100.0000,100.0000
d61_seed9,61,B,49.3730,49.1043,49.8433,44.9395,100.0000
d63_seed0,63,B,49.9475,47.1552,49.9895,46.5043,100.0000
d63_seed1,63,B,49.6326,46.7772,47.9530,46.8612,100.0000
d63_seed2,63,A,100.0000,100.0000,100.0000,100.0000,100.0000
d63_seed3,63,B,49.7166,52.3200,53.6007,52.3620,100.0000
d63_seed4,63,B,49.7586,52.8448,54.1046,51.2912,100.0000
d63_seed5,63,B,49.7586,52.2780,53.3277,52.4039,100.0000
d63_seed6,63,B,49.5276,47.4071,48.4988,47.0502,100.0000
d63_seed7,63,B,49.7795,48.3729,50.1155,47.9110,100.0000
d63_seed8,63,A,100.0000,100.0000,100.0000,100.0000,100.0000
d63_seed9,63,B,49.7586,50.6823,50.3254,50.4514,100.0000
