run,n,cls,acc_sign0,n_wrong,n_inputs,sep_thr,thr_sd
d47_seed0,47,A,1.000000,0,8836,-0.7632,-0.042
d47_seed1,47,A,1.000000,0,8836,8.8872,0.293
d47_seed3,47,A,1.000000,0,8836,-0.1653,-0.010
d47_seed4,47,B,0.516750,4270,8836,,
d47_seed6,47,I,0.675079,2871,8836,,
d47_seed7,47,A,1.000000,0,8836,0.3124,0.017
d47_seed8,47,A,1.000000,0,8836,3.1162,0.088
d47_seed9,47,A,1.000000,0,8836,0.8583,0.046
d51_seed0,51,B,0.503941,5161,10404,,
d51_seed2,51,A,1.000000,0,10404,3.0213,0.071
d53_seed1,53,A,1.000000,0,11236,13.4694,0.235
d53_seed2,53,B,0.515931,5439,11236,,
d55_seed0,55,B,0.507769,5956,12100,,
d55_seed2,55,B,0.564876,5265,12100,,
d59_30pct_seed0,59,A,1.000000,0,13924,3.4388,0.091
d59_30pct_seed1,59,A,1.000000,0,13924,-1.2248,-0.017
d59_30pct_seed3,59,A,1.000000,0,13924,-3.2103,-0.053
d59_30pct_seed4_resumed,59,A,0.999928,1,13924,10.7387,0.256
d61_seed0,61,B,0.522709,7104,14884,,
d61_seed1,61,B,0.503023,7397,14884,,
d61_seed2,61,A,1.000000,0,14884,6.9918,0.159
d61_seed4,61,I,0.506719,7342,14884,,
d61_seed6,61,B,0.504703,7372,14884,,
d61_seed8,61,A,1.000000,0,14884,-0.3964,-0.021
d61_seed9,61,B,0.504166,7380,14884,,
d63_seed0,63,B,0.504220,7871,15876,,
d63_seed1,63,B,0.527337,7504,15876,,
d63_seed2,63,A,1.000000,0,15876,21.6029,0.377
d63_seed3,63,B,0.615961,6097,15876,,
d63_seed4,63,B,0.500000,7938,15876,,
d63_seed5,63,B,0.503023,7890,15876,,
d63_seed6,63,B,0.504535,7866,15876,,
d63_seed7,63,B,0.516188,7681,15876,,
d63_seed8,63,A,1.000000,0,15876,-0.7521,-0.018
d63_seed9,63,B,0.505921,7844,15876,,
