run,n,cls,grok_epoch,readout_sat_epoch,perp90_epoch,bestval_epoch
d47_seed0,47.0,A,59000.0,11000.0,57000.0,61000.0
d47_seed1,47.0,A,43000.0,15000.0,23000.0,45000.0
d47_seed3,47.0,A,49000.0,3000.0,41000.0,53000.0
d47_seed4,47.0,B,37000.0,,25000.0,45000.0
d47_seed6,47.0,I,31000.0,,23000.0,67000.0
d47_seed7,47.0,A,45000.0,15000.0,37000.0,45000.0
d47_seed8,47.0,A,33000.0,8000.0,29000.0,51000.0
d47_seed9,47.0,A,25000.0,5000.0,19000.0,29000.0
d61_seed0,61.0,B,19000.0,,7000.0,27000.0
d61_seed1,61.0,B,17000.0,,15000.0,17000.0
d61_seed2,61.0,A,23000.0,5000.0,15000.0,29000.0
d61_seed4,61.0,I,23000.0,,17000.0,35000.0
d61_seed6,61.0,B,17000.0,,15000.0,17000.0
d61_seed8,61.0,A,21000.0,2000.0,13000.0,23000.0
d61_seed9,61.0,B,29000.0,,10000.0,39000.0
d63_seed0,63.0,B,21000.0,,21000.0,27000.0
d63_seed1,63.0,B,13000.0,,11000.0,17000.0
d63_seed2,63.0,A,21000.0,9000.0,15000.0,31000.0
d63_seed3,63.0,B,21000.0,,17000.0,21000.0
d63_seed4,63.0,B,13000.0,,13000.0,13000.0
d63_seed5,63.0,B,15000.0,,15000.0,21000.0
d63_seed6,63.0,B,19000.0,,17000.0,19000.0
d63_seed7,63.0,B,19000.0,,15000.0,29000.0
d63_seed8,63.0,A,25000.0,8000.0,31000.0,35000.0
d63_seed9,63.0,B,13000.0,,11000.0,15000.0
