run,n,cls,emb_top3,typ_top3,overlap,chance,corr
d47_seed0,47,A,3 16 21,3 16 21,3,0.391304,0.871080
d47_seed1,47,A,10 17 23,9 17 23,2,0.391304,0.957733
d47_seed3,47,A,3 11 16,3 16 22,2,0.391304,0.690918
d47_seed4,47,B,8 16 19,8 16 19,3,0.391304,0.965902
d47_seed6,47,I,8 17 19,8 17 19,3,0.391304,0.956473
d47_seed7,47,A,2 3 16,2 16 22,2,0.391304,0.989881
d47_seed8,47,A,3 19 23,3 19 23,3,0.391304,0.967910
d47_seed9,47,A,17 19 22,17 19 22,3,0.391304,0.951412
d51_seed0,51,B,9 12 22,12 15 22,2,0.360000,0.630682
d51_seed2,51,A,5 12 13,5 12 13,3,0.360000,0.991235
d53_seed1,53,A,2 7 10,2 7 10,3,0.346154,0.987463
d53_seed2,53,B,1 18 23,1 18 23,3,0.346154,0.988943
d55_seed0,55,B,4 18 24,4 18 24,3,0.333333,0.991704
d55_seed2,55,B,11 13 16,11 13 16,3,0.333333,0.932680
d59_30pct_seed0,59,A,2 16 19,2 16 19,3,0.310345,0.959685
d59_30pct_seed1,59,A,3 13 25,3 13 25,3,0.310345,0.957055
d59_30pct_seed3,59,A,11 20 26,11 20 26,3,0.310345,0.901358
d59_30pct_seed4_resumed,59,A,3 6 13,3 12 13,2,0.310345,0.907262
d61_seed0,61,B,17 23 27,15 17 27,2,0.300000,0.958674
d61_seed1,61,B,5 6 28,5 6 28,3,0.300000,0.935813
d61_seed2,61,A,6 19 28,6 19 28,3,0.300000,0.978794
d61_seed4,61,I,3 15 17,3 15 17,3,0.300000,0.987359
d61_seed6,61,B,6 20 28,6 20 24,2,0.300000,0.989807
d61_seed8,61,A,4 27 28,4 27 28,3,0.300000,0.802448
d61_seed9,61,B,6 15 27,7 15 27,2,0.300000,0.966185
d63_seed0,63,B,10 17 26,10 17 26,3,0.290323,0.994731
d63_seed1,63,B,21 23 24,21 23 24,3,0.290323,0.943677
d63_seed2,63,A,10 17 23,10 17 23,3,0.290323,0.913901
d63_seed3,63,B,11 21 23,11 21 23,3,0.290323,0.997506
d63_seed4,63,B,16 21 23,16 21 23,3,0.290323,0.966607
d63_seed5,63,B,21 26 28,8 26 28,2,0.290323,0.937054
d63_seed6,63,B,6 16 30,6 16 30,3,0.290323,0.975536
d63_seed7,63,B,4 7 21,4 7 21,3,0.290323,0.970870
d63_seed8,63,A,17 21 26,17 21 26,3,0.290323,0.950625
d63_seed9,63,B,16 17 26,16 17 26,3,0.290323,0.947312
