run,n,cls,margin,dc,perp,dc_share,rand_share,dc_cv,perp_rot,perp_ref,neg_frac,perp_p05
d47_seed0,47,A,3.128421,0.624111,2.504310,0.201242,0.008607,0.330588,2.504864,2.503756,0.000000,1.140579
d47_seed1,47,A,1.850820,0.286980,1.563841,0.159162,0.003850,0.213495,1.489587,1.638094,0.000000,0.452869
d47_seed3,47,A,3.076683,0.519509,2.557173,0.168666,0.006902,0.212848,2.533555,2.580792,0.000113,0.903658
d47_seed4,47,B,1.799339,0.028982,1.770356,0.016042,0.005763,6.136101,1.807529,1.733184,0.000000,0.495617
d47_seed6,47,I,2.040117,0.126825,1.913292,0.054152,0.011369,1.606256,2.060872,1.765711,0.006451,0.562154
d47_seed7,47,A,2.456609,0.420594,2.036015,0.171495,0.002098,0.266168,2.031431,2.040599,0.002716,0.433845
d47_seed8,47,A,3.050105,0.684110,2.365995,0.220958,0.006636,0.162654,2.333592,2.398398,0.001471,0.939508
d47_seed9,47,A,2.425265,0.458413,1.966852,0.168728,0.006364,0.134895,1.964189,1.969515,0.000226,0.460597
d51_seed0,51,B,2.840271,0.023868,2.816403,0.008335,0.008089,3.347133,2.817818,2.814988,0.000000,1.342669
d51_seed2,51,A,2.956958,0.726875,2.230083,0.245522,0.013451,0.149172,2.263284,2.196883,0.000096,0.905873
d53_seed1,53,A,2.603091,0.591935,2.011156,0.228714,0.010421,0.194718,1.942509,2.079803,0.001424,0.520202
d53_seed2,53,B,2.788779,0.188398,2.600382,0.070501,0.006213,2.748338,2.491499,2.709264,0.000000,1.124137
d55_seed0,55,B,2.526938,0.155388,2.371551,0.058496,0.005953,1.470117,2.335545,2.407557,0.001074,1.037145
d55_seed2,55,B,2.103604,0.010923,2.092681,0.003897,0.007297,0.664124,2.148039,2.037324,0.000000,0.690862
d59_30pct_seed0,59,A,3.735600,0.727389,3.008211,0.195228,0.005489,0.193599,2.948739,3.067683,0.000000,1.811050
d59_30pct_seed1,59,A,2.349277,0.493722,1.855555,0.211437,0.016521,0.223575,1.853433,1.857676,0.000000,0.743707
d59_30pct_seed3,59,A,2.597062,0.409724,2.187338,0.151117,0.006075,0.220391,2.200545,2.174131,0.000790,0.656717
d59_30pct_seed4_resumed,59,A,2.971374,0.412917,2.558457,0.129457,0.006233,0.221231,2.495797,2.621118,0.000000,1.121681
d61_seed0,61,B,1.730694,0.077764,1.652930,0.046823,0.012224,0.652627,1.761140,1.544720,0.000000,0.910737
d61_seed1,61,B,2.518069,0.093773,2.424295,0.036101,0.008472,3.721224,2.401745,2.446845,0.000000,1.159495
d61_seed2,61,A,2.669751,0.590945,2.078806,0.221640,0.007889,0.261129,2.034720,2.122892,0.003023,0.519366
d61_seed4,61,I,2.539171,0.056615,2.482556,0.026449,0.006192,0.270637,2.668038,2.297075,0.000269,0.916627
d61_seed6,61,B,2.022258,0.053394,1.968864,0.026221,0.007671,2.846667,2.043379,1.894348,0.000067,0.675123
d61_seed8,61,A,1.895867,0.246719,1.649147,0.120441,0.006286,0.144914,1.655197,1.643098,0.000000,0.633867
d61_seed9,61,B,1.550932,0.027340,1.523591,0.024422,0.007379,4.855748,1.548610,1.498573,0.007995,0.396438
d63_seed0,63,B,1.979095,0.033439,1.945655,0.016801,0.008473,2.022255,1.985809,1.905502,0.000000,0.738786
d63_seed1,63,B,2.515614,0.087933,2.427681,0.033854,0.006694,1.555721,2.496069,2.359292,0.000000,1.317928
d63_seed2,63,A,2.139698,0.297600,1.842098,0.123962,0.005387,0.199568,1.790117,1.894079,0.000000,0.547660
d63_seed3,63,B,2.468455,0.168819,2.299637,0.066934,0.006585,4.172814,2.442509,2.156764,0.000189,0.878786
d63_seed4,63,B,1.657849,0.009162,1.648687,0.001601,0.011082,0.313507,1.506222,1.791152,0.000126,0.697489
d63_seed5,63,B,2.173107,0.041847,2.131259,0.020465,0.005014,5.442402,2.185356,2.077163,0.000000,0.882942
d63_seed6,63,B,2.582442,0.126087,2.456354,0.048325,0.007309,24.466728,2.497603,2.415106,0.000189,1.133857
d63_seed7,63,B,2.072763,0.100259,1.972504,0.047917,0.011348,12.760838,1.882572,2.062436,0.001197,0.757206
d63_seed8,63,A,2.876918,0.704398,2.172520,0.244886,0.010871,0.131032,2.175620,2.169420,0.000000,0.754801
d63_seed9,63,B,2.465734,0.015954,2.449780,0.007409,0.010286,1.047396,2.511998,2.387563,0.000000,1.223975
