run,n,cls,dc_frac,top_k,top_frac,top3_frac,chance
d47_seed0,47,A,0.126634,3,0.296542,0.650721,0.021277
d47_seed1,47,A,0.146431,23,0.304361,0.633702,0.021277
d47_seed3,47,A,0.132602,3,0.289919,0.699878,0.021277
d47_seed4,47,B,0.006185,16,0.361416,0.740621,0.021277
d47_seed6,47,I,0.122757,8,0.304228,0.678805,0.021277
d47_seed7,47,A,0.145335,2,0.298668,0.662293,0.021277
d47_seed8,47,A,0.157977,3,0.299497,0.766590,0.021277
d47_seed9,47,A,0.129704,19,0.409000,0.723561,0.021277
d51_seed0,51,B,0.017753,15,0.345215,0.715813,0.019608
d51_seed2,51,A,0.161295,5,0.210995,0.609186,0.019608
d53_seed1,53,A,0.211780,10,0.278370,0.693471,0.018868
d53_seed2,53,B,0.018134,1,0.326451,0.769441,0.018868
d55_seed0,55,B,0.010054,24,0.342972,0.751522,0.018182
d55_seed2,55,B,0.060163,11,0.230567,0.533450,0.018182
d59_30pct_seed0,59,A,0.131606,2,0.310415,0.634246,0.016949
d59_30pct_seed1,59,A,0.167017,13,0.264926,0.637612,0.016949
d59_30pct_seed3,59,A,0.138475,20,0.330759,0.650662,0.016949
d59_30pct_seed4_resumed,59,A,0.121173,3,0.317473,0.609639,0.016949
d61_seed0,61,B,0.009095,27,0.286552,0.697171,0.016393
d61_seed1,61,B,0.003767,6,0.266520,0.664871,0.016393
d61_seed2,61,A,0.212061,6,0.267298,0.684050,0.016393
d61_seed4,61,I,0.037814,3,0.282439,0.790820,0.016393
d61_seed6,61,B,0.006469,20,0.345002,0.754116,0.016393
d61_seed8,61,A,0.125338,28,0.499230,0.643030,0.016393
d61_seed9,61,B,0.015703,27,0.332689,0.696002,0.016393
d63_seed0,63,B,0.026962,26,0.369454,0.793893,0.015873
d63_seed1,63,B,0.011403,24,0.344418,0.818456,0.015873
d63_seed2,63,A,0.172291,17,0.441620,0.675167,0.015873
d63_seed3,63,B,0.013216,23,0.250162,0.685412,0.015873
d63_seed4,63,B,0.010274,23,0.371276,0.753769,0.015873
d63_seed5,63,B,0.015538,26,0.432278,0.699767,0.015873
d63_seed6,63,B,0.007769,6,0.240009,0.579730,0.015873
d63_seed7,63,B,0.021527,4,0.405981,0.782789,0.015873
d63_seed8,63,A,0.201580,26,0.251733,0.664946,0.015873
d63_seed9,63,B,0.008415,26,0.346981,0.862261,0.015873
