run,n,cls,lin_out,auc_t,acc_thr,ffn_share,model_acc
d47_seed0,47,A,100.0000,1.000000,0.999434,2.247299,1.000000
d47_seed1,47,A,100.0000,1.000000,0.999434,4.356106,1.000000
d47_seed3,47,A,100.0000,1.000000,0.999434,7.055304,1.000000
d47_seed4,47,B,51.8295,0.500405,0.536102,3.637079,1.000000
d47_seed6,47,I,87.8914,0.683209,0.714690,15.323716,0.995813
d47_seed7,47,A,100.0000,1.000000,0.999434,2.187390,1.000000
d47_seed8,47,A,100.0000,1.000000,0.999434,5.562414,0.999660
d47_seed9,47,A,99.9246,1.000000,0.999434,3.008503,1.000000
d51_seed0,51,B,49.5195,0.507575,0.511053,10.098764,0.996924
d51_seed2,51,A,100.0000,1.000000,0.999904,3.471927,1.000000
d53_seed1,53,A,100.0000,1.000000,0.999021,8.251314,1.000000
d53_seed2,53,B,48.4426,0.502086,0.561677,2.321804,1.000000
d55_seed0,55,B,56.8320,0.504137,0.516281,3.409157,1.000000
d55_seed2,55,B,51.2672,0.507241,0.569174,11.278870,0.997438
d59_30pct_seed0,59,A,100.0000,1.000000,0.999354,1.951150,1.000000
d59_30pct_seed1,59,A,100.0000,1.000000,0.999354,10.645679,0.999785
d59_30pct_seed3,59,A,100.0000,1.000000,0.999354,16.138004,1.000000
d59_30pct_seed4_resumed,59,A,100.0000,1.000000,0.999354,11.749969,0.995906
d61_seed0,61,B,48.6565,0.500001,0.542865,16.149332,1.000000
d61_seed1,61,B,58.3072,0.505677,0.534131,3.642351,1.000000
d61_seed2,61,A,100.0000,1.000000,0.999731,14.447133,1.000000
d61_seed4,61,I,85.1321,0.662954,0.627721,10.686198,1.000000
d61_seed6,61,B,60.3000,0.500056,0.528285,2.678486,1.000000
d61_seed8,61,A,100.0000,1.000000,0.999731,4.255278,1.000000
d61_seed9,61,B,44.7828,0.500356,0.550658,1.744332,1.000000
d63_seed0,63,B,49.7166,0.500655,0.514487,3.318529,1.000000
d63_seed1,63,B,50.7663,0.500738,0.535966,4.092564,1.000000
d63_seed2,63,A,100.0000,1.000000,0.998803,17.055365,1.000000
d63_seed3,63,B,68.9691,0.548166,0.617284,4.825019,1.000000
d63_seed4,63,B,70.3548,0.501019,0.514739,2.906035,1.000000
d63_seed5,63,B,69.0741,0.504632,0.517826,7.722206,1.000000
d63_seed6,63,B,57.0019,0.500367,0.534329,2.735713,1.000000
d63_seed7,63,B,62.2297,0.504982,0.538738,2.615292,1.000000
d63_seed8,63,A,100.0000,1.000000,0.998803,7.015767,1.000000
d63_seed9,63,B,55.9521,0.503432,0.511212,6.050482,1.000000
