run,n,cls,lin_out,common_frac,mean_cos,min_cos,sv1_frac,sv1_cos_t,bias_gap
d47_seed0,47,A,100.0000,0.126634,0.356990,0.261775,0.161197,0.119925,nan
d47_seed1,47,A,100.0000,0.146431,0.387503,0.240468,0.276734,0.270598,nan
d47_seed3,47,A,100.0000,0.132602,0.367296,0.298716,0.200092,0.022127,nan
d47_seed4,47,B,51.8295,0.006185,0.075131,-0.215465,0.334169,0.118951,nan
d47_seed6,47,I,87.8914,0.122757,0.351839,0.185162,0.184033,0.266826,nan
d47_seed7,47,A,100.0000,0.145335,0.382777,0.305925,0.152191,0.779030,nan
d47_seed8,47,A,100.0000,0.157977,0.403300,0.244165,0.247533,0.052275,nan
d47_seed9,47,A,99.9246,0.129704,0.390475,0.180741,0.427494,0.039703,nan
d51_seed0,51,B,49.5195,0.017753,0.135633,-0.095685,0.359947,0.071635,nan
d51_seed2,51,A,100.0000,0.161295,0.404219,0.260735,0.175411,0.964370,nan
d53_seed1,53,A,100.0000,0.211780,0.462095,0.342550,0.235065,0.868322,nan
d53_seed2,53,B,48.4426,0.018134,0.124147,-0.372567,0.234743,0.092163,nan
d55_seed0,55,B,56.8320,0.010054,0.087999,-0.464717,0.204804,0.297106,nan
d55_seed2,55,B,51.2672,0.060163,0.249914,0.136501,0.140571,0.160609,nan
d59_30pct_seed0,59,A,100.0000,0.131606,0.363219,0.270539,0.166266,0.244716,nan
d59_30pct_seed1,59,A,100.0000,0.167017,0.410391,0.283667,0.179744,0.906975,nan
d59_30pct_seed3,59,A,100.0000,0.138475,0.378270,0.263952,0.254772,0.105224,nan
d59_30pct_seed4_resumed,59,A,100.0000,0.121173,0.350479,0.263087,0.189766,0.211107,nan
d61_seed0,61,B,48.6565,0.009095,0.090601,-0.306926,0.194426,0.334938,nan
d61_seed1,61,B,58.3072,0.003767,0.058628,-0.263958,0.201696,0.112870,nan
d61_seed2,61,A,100.0000,0.212061,0.464747,0.288290,0.271691,0.392244,nan
d61_seed4,61,I,85.1321,0.037814,0.196157,-0.054248,0.224132,0.171416,nan
d61_seed6,61,B,60.3000,0.006469,0.075750,-0.255881,0.186443,0.078459,nan
d61_seed8,61,A,100.0000,0.125338,0.366151,0.244260,0.342237,0.028712,nan
d61_seed9,61,B,44.7828,0.015703,0.122377,-0.169062,0.299152,0.010844,nan
d63_seed0,63,B,49.7166,0.026962,0.158641,-0.085211,0.241573,0.121004,nan
d63_seed1,63,B,50.7663,0.011403,0.092838,-0.284529,0.241156,0.090871,nan
d63_seed2,63,A,100.0000,0.172291,0.431645,0.238295,0.311276,0.090215,nan
d63_seed3,63,B,68.9691,0.013216,0.124885,-0.316123,0.156480,0.239986,nan
d63_seed4,63,B,70.3548,0.010274,0.098806,-0.116402,0.229118,0.121789,nan
d63_seed5,63,B,69.0741,0.015538,0.125121,-0.098471,0.276169,0.217756,nan
d63_seed6,63,B,57.0019,0.007769,0.082418,-0.306611,0.136908,0.201923,nan
d63_seed7,63,B,62.2297,0.021527,0.127489,-0.370107,0.240933,0.431188,nan
d63_seed8,63,A,100.0000,0.201580,0.456150,0.363437,0.207180,0.990538,nan
d63_seed9,63,B,55.9521,0.008415,0.091042,-0.165045,0.227436,0.069337,nan
