run,n,shared_epochs,first_epoch,last_epoch,identical,max_abs_diff
d47_seed0,47,4,20000,80000,1,0.0
d47_seed1,47,4,20000,80000,1,0.0
d47_seed2,47,4,20000,80000,1,0.0
d47_seed3,47,4,20000,80000,1,0.0
d47_seed4,47,4,20000,80000,1,0.0
d61_seed0,61,2,20000,40000,1,0.0
d61_seed1,61,2,20000,40000,1,0.0
d61_seed2,61,2,20000,40000,1,0.0
d61_seed3,61,2,20000,40000,1,0.0
d61_seed4,61,2,20000,40000,1,0.0
d61_seed5,61,2,20000,40000,1,0.0
d61_seed6,61,2,20000,40000,1,0.0
d61_seed7,61,2,20000,40000,1,0.0
d63_seed0,63,2,20000,40000,1,0.0
d63_seed1,63,2,20000,40000,1,0.0
d63_seed2,63,2,20000,40000,1,0.0
